,Nome da rede,Link veja
,Kuro,https://vejasp.abril.com.br/estabelecimento/kuro/
,Izakaya Kuroda,https://vejasp.abril.com.br/estabelecimento/kuroda/
,La Borratxeria,https://vejasp.abril.com.br/estabelecimento/la-borratxeria/
,La Casserole,https://vejasp.abril.com.br/estabelecimento/la-casserole/
,Lassù,https://vejasp.abril.com.br/estabelecimento/lassu/
,Le Bife,https://vejasp.abril.com.br/estabelecimento/le-bife/
,Lobozó,https://vejasp.abril.com.br/estabelecimento/lobozo/
,LosDos Taqueria,https://vejasp.abril.com.br/estabelecimento/losdos/
,Maní,https://vejasp.abril.com.br/estabelecimento/mani/
,Maní Manioca,https://vejasp.abril.com.br/estabelecimento/manioca-shopping-iguatemi/
,Boteco Mano do Céu,https://vejasp.abril.com.br/estabelecimento/mano-do-ceu/
,Meats,https://vejasp.abril.com.br/estabelecimento/meats/
,Metzi,https://vejasp.abril.com.br/estabelecimento/metzi/
,Mica,https://vejasp.abril.com.br/estabelecimento/mica/
,Mocotó,https://vejasp.abril.com.br/estabelecimento/mocoto/
,Bar Moela,https://vejasp.abril.com.br/estabelecimento/moela/
,Mondo Gastronômico,https://vejasp.abril.com.br/estabelecimento/mondo/
,Murakami,https://vejasp.abril.com.br/estabelecimento/murakami/
,Naia Restaurante,https://vejasp.abril.com.br/estabelecimento/naia/
,NB Steak,https://vejasp.abril.com.br/estabelecimento/nb-steak/
,Nelita,https://vejasp.abril.com.br/estabelecimento/nelita/
,Nit,https://vejasp.abril.com.br/estabelecimento/nit/
,Bar Original,https://vejasp.abril.com.br/estabelecimento/original/
,Paca Polaca,https://vejasp.abril.com.br/estabelecimento/paca-polaca/
,Pantcho's House,https://vejasp.abril.com.br/estabelecimento/pantchos-house-burger/
,Pão com Carne,https://vejasp.abril.com.br/estabelecimento/pao-com-carne/
,Bistrot Parigi,https://vejasp.abril.com.br/estabelecimento/parigi-bistrot/
,Pato Rei,https://vejasp.abril.com.br/estabelecimento/pato-rei/
,Paul’s Boutique,https://vejasp.abril.com.br/estabelecimento/pauls-boutique/
,Petí Gastronomia,https://vejasp.abril.com.br/estabelecimento/peti-gastronomia/
,Picchi Restaurante,https://vejasp.abril.com.br/estabelecimento/picchi/
,Piselli,https://vejasp.abril.com.br/estabelecimento/piselli/
,Più,https://vejasp.abril.com.br/estabelecimento/piu/
,Pobre Juan,https://vejasp.abril.com.br/estabelecimento/pobre-juan/
,Ponto Chic,https://vejasp.abril.com.br/estabelecimento/ponto-chic-centro/
,PoPa Artesanal Hot-Dog,https://vejasp.abril.com.br/estabelecimento/popa-artesanal/
,Primitivo São Paulo,https://vejasp.abril.com.br/estabelecimento/primitivo-sao-paulo/
,Quito Quito Izakaya,https://vejasp.abril.com.br/estabelecimento/quito-quito-izakaya/
,Ristorantino,https://vejasp.abril.com.br/estabelecimento/ristorantino-jardins/
,Ryo,https://vejasp.abril.com.br/estabelecimento/ryo/
,Sal Gastronomia,https://vejasp.abril.com.br/estabelecimento/sal-gastronomia/
,Samambaia Bar e Lanches,https://vejasp.abril.com.br/estabelecimento/samambaia-bar-lanches/
,Santana Bar,https://vejasp.abril.com.br/estabelecimento/santana-bar/
,Shin-Zushi,https://vejasp.abril.com.br/estabelecimento/shin-zushi/
,Skye,https://vejasp.abril.com.br/estabelecimento/skye/
,Supra di Mauro Maia,https://vejasp.abril.com.br/estabelecimento/supra-di-mauro-maia/
,Sushimar Vegano,https://vejasp.abril.com.br/estabelecimento/sushimar-vegano/
,Sylvester Bar,https://vejasp.abril.com.br/estabelecimento/sylvester/
,Tangará Jean-Georges,https://vejasp.abril.com.br/estabelecimento/tangara-jean-georges/
,Tanit,https://vejasp.abril.com.br/estabelecimento/tanit/
,Tan Tan Noodle Bar,https://vejasp.abril.com.br/estabelecimento/tan-tan/
,Tanuki Sushi,https://vejasp.abril.com.br/estabelecimento/tanuki/
,Taquería La Sabrosa,https://vejasp.abril.com.br/estabelecimento/taqueria-la-sabrosa/
,Tasca da Esquina,https://vejasp.abril.com.br/estabelecimento/tasca-da-esquina/
,Tatini,https://vejasp.abril.com.br/estabelecimento/tatini/
,Tenda do Nilo,https://vejasp.abril.com.br/estabelecimento/tenda-do-nilo/
,Terraço Jardins,https://vejasp.abril.com.br/estabelecimento/terraco-jardins/
,Ton Hoi,https://vejasp.abril.com.br/estabelecimento/ton-hoi/
,Tordesilhas,https://vejasp.abril.com.br/estabelecimento/tordesilhas/
,Torero Valese,https://vejasp.abril.com.br/estabelecimento/torero-valese/
,Tosquinho Lanches,https://vejasp.abril.com.br/estabelecimento/tosquinho-lanches/
,Trago Bar,https://vejasp.abril.com.br/estabelecimento/trago-bar/
,Tujuína,https://vejasp.abril.com.br/estabelecimento/tujuina/
,Urus Restaurante,https://vejasp.abril.com.br/estabelecimento/urus/
,Van der Ale,https://vejasp.abril.com.br/estabelecimento/van-der-ale/
,Varanda,https://vejasp.abril.com.br/estabelecimento/varanda-grill/
,Vinheria Percussi,https://vejasp.abril.com.br/estabelecimento/vinheria-percussi/
,Vista,https://vejasp.abril.com.br/estabelecimento/vista/
,Z Dogs,https://vejasp.abril.com.br/estabelecimento/z-dogs/
,Zena Caffè,https://vejasp.abril.com.br/estabelecimento/zena-caffe/
,Zucco,https://vejasp.abril.com.br/estabelecimento/zucco/
