"","Nome rede","Link veja"
"","Lido Amici di Amici","https://vejasp.abril.com.br/estabelecimento/lido-amici-di-amici/"
"","Lolla Meets Fire","https://vejasp.abril.com.br/estabelecimento/lolla-meets-fire/"
"","Luce","https://vejasp.abril.com.br/estabelecimento/luce-trattoria/"
"","Manish","https://vejasp.abril.com.br/estabelecimento/manish/"
"","Maremonti Trattoria & Pizza","https://vejasp.abril.com.br/estabelecimento/maremonti-trattoria-pizza/"
"","Marialva Cozinha Portuguesa","https://vejasp.abril.com.br/estabelecimento/marialva-cozinha-portuguesa/"
"","Martín Fierro","https://vejasp.abril.com.br/estabelecimento/martin-fierro/"
"","Me Vá","https://vejasp.abril.com.br/estabelecimento/me-va/"
"","Mestiço","https://vejasp.abril.com.br/estabelecimento/mestico/"
"","Mi.Ado","https://vejasp.abril.com.br/estabelecimento/mi-ado/"
"","Miró","https://vejasp.abril.com.br/estabelecimento/miro-gastronomia/"
"","Miski","https://vejasp.abril.com.br/estabelecimento/miski/"
"","Modern Mamma Osteria","https://vejasp.abril.com.br/estabelecimento/moma-modern-mamma-osteria/"
"","Monte Líbano","https://vejasp.abril.com.br/estabelecimento/monte-libano/"
"","Nagayama","https://vejasp.abril.com.br/estabelecimento/nagayama/"
"","NB Steak","https://vejasp.abril.com.br/estabelecimento/nb-steak-itaim-bibi/"
"","Nello's","https://vejasp.abril.com.br/estabelecimento/nello-s/"
"","Nice to Meat U","https://vejasp.abril.com.br/estabelecimento/nice-to-meat-u/"
"","Nico Pasta & Basta","https://vejasp.abril.com.br/estabelecimento/nico-pasta-basta/"
"","Ninetto","https://vejasp.abril.com.br/estabelecimento/ninetto/"
"","Nino Cucina","https://vejasp.abril.com.br/estabelecimento/nino-cucina/"
"","Organicamente Rango","https://vejasp.abril.com.br/estabelecimento/organicamente-rango/"
"","Osaka Cocina Nikkei","https://vejasp.abril.com.br/estabelecimento/osaka-rua-amauri/"
"","Piccini Cucina","https://vejasp.abril.com.br/estabelecimento/piccini-cucina/"
"","Picco","https://vejasp.abril.com.br/estabelecimento/picco/"
"","Pipo","https://vejasp.abril.com.br/estabelecimento/pipo/"
"","Piselli","https://vejasp.abril.com.br/estabelecimento/piselli/"
"","Più","https://vejasp.abril.com.br/estabelecimento/piu/"
"","Pobre Juan","https://vejasp.abril.com.br/estabelecimento/pobre-juan/"
"","Président","https://vejasp.abril.com.br/estabelecimento/president/"
"","Prosa e Vinho","https://vejasp.abril.com.br/estabelecimento/prosa-e-vinho/"
"","Quinta de Santa Maria","https://vejasp.abril.com.br/estabelecimento/quinta-de-santa-maria/"
"","Quinta do Olivardo","https://vejasp.abril.com.br/estabelecimento/quinta-do-olivardo/"
"","Rancho Português","https://vejasp.abril.com.br/estabelecimento/rancho-portugues/"
"","Ráscal","https://vejasp.abril.com.br/estabelecimento/rascal-cerqueira-cesar/"
"","Ritz","https://vejasp.abril.com.br/estabelecimento/ritz/"
"","Rodeio","https://vejasp.abril.com.br/estabelecimento/rodeio/"
"","Roi Méditerranée","https://vejasp.abril.com.br/estabelecimento/roi-mediterranee/"
"","Ruella","https://vejasp.abril.com.br/estabelecimento/ruella/"
"","Saj","https://vejasp.abril.com.br/estabelecimento/saj/"
"","Sal Gastronomia","https://vejasp.abril.com.br/estabelecimento/sal-gastronomia/"
"","Sala Vip","https://vejasp.abril.com.br/estabelecimento/salavip/"
"","Saltas & Tapas","https://vejasp.abril.com.br/estabelecimento/saltas-tapas/"
"","Santo Colomba","https://vejasp.abril.com.br/estabelecimento/santo-colomba/"
"","Sede261","https://vejasp.abril.com.br/estabelecimento/sede261/"
"","Seen","https://vejasp.abril.com.br/estabelecimento/seen/"
"","Sforno","https://vejasp.abril.com.br/estabelecimento/sforno/"
"","Shahiya","https://vejasp.abril.com.br/estabelecimento/shahiya/"
"","Speranza","https://vejasp.abril.com.br/estabelecimento/speranza/"
"","Spot","https://vejasp.abril.com.br/estabelecimento/spot/"
"","Takkø Café","https://vejasp.abril.com.br/estabelecimento/takko/"
"","Templo da Carne Marcos Bassi","https://vejasp.abril.com.br/estabelecimento/templo-da-carne-marcos-bassi/"
"","Teus","https://vejasp.abril.com.br/estabelecimento/teus/"
"","Trattoria","https://vejasp.abril.com.br/estabelecimento/trattoria/"
"","Tre Bicchieri","https://vejasp.abril.com.br/estabelecimento/tre-bicchieri/"
"","Varanda","https://vejasp.abril.com.br/estabelecimento/varanda-grill/"
"","Vecchio Torino","https://vejasp.abril.com.br/estabelecimento/vecchio-torino/"
"","Veridiana","https://vejasp.abril.com.br/estabelecimento/veridiana/"
"","Vinarium Antica Trattoria","https://vejasp.abril.com.br/estabelecimento/vinarium/"
"","3 Brasseurs","https://vejasp.abril.com.br/estabelecimento/les-3-brasseurs/"
"","A Dama e os Vagabundos","https://vejasp.abril.com.br/estabelecimento/a-dama-e-os-vagabundos/"
"","Academia da Gula","https://vejasp.abril.com.br/estabelecimento/academia-da-gula/"
"","Arlete Bar e Mercearia","https://vejasp.abril.com.br/estabelecimento/arlete/"
"","Bar Balcão","https://vejasp.abril.com.br/estabelecimento/balcao/"
"","Bar Brahma","https://vejasp.abril.com.br/estabelecimento/bar-brahma/"
"","Bar do Juarez","https://vejasp.abril.com.br/estabelecimento/bar-do-juarez/"
"","Bar Léo","https://vejasp.abril.com.br/estabelecimento/leo/"
"","Bar Quintal da Mooca","https://vejasp.abril.com.br/estabelecimento/bar-quintal-da-mooca/"
"","Baretto","https://vejasp.abril.com.br/estabelecimento/baretto/"
"","Belmonte","https://vejasp.abril.com.br/estabelecimento/belmonte/"
"","Boca de Ouro","https://vejasp.abril.com.br/estabelecimento/boca-de-ouro/"
"","Boteco Paramount","https://vejasp.abril.com.br/estabelecimento/paramount/"
"","Cachaçaria Ouro Verde","https://vejasp.abril.com.br/estabelecimento/cachacaria-ouro-verde/"
